0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
JADUAL WAKTU KOMUTER PELABUHAN KLANG KE TANJUNG MALIM HARI BEKERJA MULAI 2 JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBOR TRIP,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NOMBOR TREN,,2102,2104,2106,2110,2112,2114,2118,2122,2126,2130,2138,2142,2146,2150,2154,2156,2158,2162,2166,2168,2174,2178,2182,2186
PELABUHAN KLANG,55200,,5:55,,6:25,6:55,,7:25,,8:25,9:25,,,,,,15:25,,16:25,,17:25,18:25,18:52,20:25,21:25
JALAN KASTAM,55100,,6:01,,6:31,7:01,,7:31,,8:31,9:31,,,,,,15:31,,16:31,,17:31,18:31,18:58,20:31,21:31
KG RAJA UDA,55000,,6:05,,6:35,7:05,,7:35,,8:35,9:35,,,,,,15:35,,16:35,,17:35,18:35,19:02,20:35,21:35
TELUK GADONG,54900,,6:07,,6:37,7:07,,7:37,,8:37,9:37,,,,,,15:37,,16:37,,17:37,18:37,19:04,20:37,21:37
TELUK PULAI,54800,,6:10,,6:40,7:10,,7:40,,8:40,9:40,,,,,,15:40,,16:40,,17:40,18:40,19:07,20:40,21:40
KLANG,54700,,6:14,,6:44,7:14,,7:44,,8:44,9:44,,,,,,15:44,,16:44,,17:44,18:44,19:11,20:44,21:44
BUKIT BADAK,54500,,6:17,,6:47,7:17,,7:47,,8:47,9:47,,,,,,15:47,,16:47,,17:47,18:47,19:14,20:47,21:47
PADANG JAWA,54400,,6:24,,6:54,7:24,,7:54,,8:54,9:54,,,,,,15:54,,16:54,,17:54,18:54,19:21,20:54,21:54
SHAH ALAM,54200,,6:32,,7:02,7:32,,8:02,,9:02,10:02,,,,,,16:02,,17:02,,18:02,19:02,20:02,21:02,22:02
BATU TIGA,53800,,6:42,,7:12,7:42,,8:12,,9:12,10:12,,,,,,16:12,,17:12,,18:12,19:12,20:12,21:12,22:12
SUBANG JAYA,53700,,6:51,,7:21,7:51,,8:21,,9:21,10:21,,,,,15:21,16:21,,17:21,,18:21,19:21,20:21,21:21,22:21
SETIA JAYA,53600,,6:59,,7:29,7:59,,8:29,,9:29,10:29,,,,,15:29,16:29,,17:29,,18:29,19:29,20:29,21:29,22:29
SERI SETIA,53500,,7:01,,7:31,8:01,,8:31,,9:31,10:31,,,,,15:31,16:31,,17:31,,18:31,19:31,20:31,21:31,22:31
KG DATO HARUN,53400,,7:04,,7:34,8:04,,8:34,,9:34,10:34,,,,,15:34,16:34,,17:34,,18:34,19:34,20:34,21:34,22:34
JALAN TEMPLER,53100,,7:10,,7:40,8:10,,8:40,,9:40,10:40,,,,,15:40,16:40,,17:40,,18:40,19:40,20:40,21:40,22:40
PETALING,53000,,7:12,,7:42,CROSSING,,8:42,,9:42,10:42,,,,,15:42,16:42,,17:42,,18:42,19:42,20:42,21:42,22:42
PANTAI DALAM,52900,,7:15,,7:45,8:15,,8:45,,9:45,10:45,,,,,15:45,16:45,,17:45,,18:45,19:45,20:45,21:45,22:45
ANGKASAPURI,52800,,7:18,,7:48,8:18,,8:48,,9:48,10:48,,,,,15:48,16:48,,17:48,,18:48,19:48,20:48,21:48,22:48
ABDULLAH HUKUM,52700,,7:21,,7:51,8:21,,8:51,,9:51,10:51,,,,,15:51,16:51,,17:51,,18:51,19:51,20:51,21:51,22:51
KL SENTRAL,19100,6:59,7:27,7:35,7:59,8:27,8:35,9:04,9:32,10:04,10:59,12:02,13:02,14:17,15:12,16:04,17:04,17:34,18:04,18:39,19:09,19:59,20:59,22:09,22:59
KUALA LUMPUR,19000,7:03,,7:39,8:03,,8:39,9:08,9:36,10:08,11:03,12:06,13:06,14:21,15:16,16:08,17:08,17:38,18:08,18:43,19:13,20:03,21:03,22:13,23:03
BANK NEGARA,18900,7:07,,7:43,8:07,,8:43,9:12,9:40,10:12,11:07,12:10,13:10,14:25,15:20,16:12,17:12,17:42,18:12,18:47,19:17,20:07,21:07,22:17,23:07
PUTRA,18800,7:10,,7:46,8:10,,8:46,9:15,9:43,10:15,11:10,12:13,13:13,14:28,15:23,16:15,17:15,17:45,18:15,18:50,19:20,20:10,21:10,22:20,23:10
SEGAMBUT,18700,7:14,,7:50,8:14,,8:50,9:19,9:47,10:19,11:14,12:17,13:17,14:32,15:27,16:19,17:19,17:49,18:19,18:54,19:24,20:14,21:14,22:24,23:14
KEPONG,18600,7:19,,7:55,8:29,,8:55,9:24,9:52,10:24,11:19,12:22,13:22,14:37,15:32,16:24,17:24,17:54,18:24,18:59,19:29,20:19,21:19,22:29,23:19
KEPONG SENTRAL,18400,7:22,,7:58,8:32,,8:58,9:27,9:55,10:27,11:22,12:25,13:25,14:40,15:35,16:27,17:27,17:57,18:27,19:02,19:32,20:22,21:22,22:32,23:22
SUNGAI BULOH,18500,7:29,,8:05,8:39,,9:05,9:34,10:02,10:34,11:29,12:32,13:32,14:47,15:42,16:34,17:34,18:04,18:34,19:09,19:39,20:29,21:29,22:39,23:29
KUANG,18100,7:37,,8:13,8:47,,9:13,9:42,10:10,10:42,11:37,12:40,13:40,14:55,15:50,16:42,17:42,18:12,18:42,19:17,19:47,20:37,21:37,22:47,23:37
RAWANG,17800,7:45,,8:21,8:55,,9:21,9:50,10:18,10:50,11:45,12:48,13:48,15:03,15:58,16:50,17:50,18:20,18:50,19:25,19:55,20:45,21:45,22:55,23:45
SERENDAH,17300,7:53,,8:29,9:03,,9:29,9:58,10:26,10:58,11:53,12:56,13:56,15:11,16:06,16:58,17:58,18:28,18:58,19:33,20:03,20:53,21:53,23:03,23:53
BATANG KALI,16500,8:01,,8:37,9:11,,9:37,10:06,10:34,11:06,12:01,13:04,14:04,15:19,16:14,17:06,18:06,18:36,19:06,19:41,20:11,21:01,22:01,23:11,0:01
RASA,16400,8:05,,8:41,9:15,,9:41,10:10,10:38,11:10,12:05,13:08,14:08,15:23,16:18,17:10,18:10,18:40,19:10,19:45,20:15,21:05,22:05,23:15,0:05
KUALA KUBU BHARU,16200,8:10,,8:46,9:20,,9:46,10:15,10:43,11:15,12:10,13:13,14:13,15:28,16:23,17:15,18:15,18:45,19:15,19:50,20:20,21:10,22:10,23:20,0:10
TANJUNG MALIM,15200,8:23,,8:59,9:33,,9:59,10:28,10:56,11:28,12:23,13:26,14:26,15:41,16:36,17:28,18:28,18:58,19:28,20:03,20:33,21:23,22:23,23:33,0:23
